context,count
i love leon kennedy and carlos,1
well as story dlc for leon kennedy and such so far,1
wheres leon my beloved,1
story never skipping cut scenes leon is amazing again 4 was,1
carlos is no different than leon i d take both at,1
i have to choose either leon or jill i have a,1
character like the second with leon and clair,1
scenarios whether you played as leon or claire 1st 2nd affected,1
leons birthday is interrupted by im,1
need to remain locked for leon and claire from re2 who,1
badass and has now overtaken leon as my favorite re character,1
kinda ruining it by making leon and claires story feel so,1
that mr x particularly in leon s campaign comes for you,1
resident evil 2 remake with leon claire a b at the,1
grip me like claire and leon s story did i didn,1
city the same time as leon is a fun idea,1
scenes 👍👍 jill can use leon s and claire s weapons,1
than i was expecting no leon but jill is cool having,1
of raccoon city seen in leon and claire s adventures story,1
not have great characters like leon ada or claire but a,1
a significant downgrade compared to leon while carlos is somewhere in,1
dampen the scariness of nemesis leon and claire were scared of,1
get mad when our child leon set fire to the living,1
a more entertaining mc love leon tho it s action packed,1
evil 2 only played the leon route but that might ve,1
where s daddy leon,1
leon is king but i ll,1
to re2 where we have leon and claire the resident evil,1
as an example re2 remake leon was a rookie cop who,1
not leon but it was okay,1
even before the escape of leon and claire later concurrently with,1
leon is so sexy wait wrong,1
mechanic may suck compared to leon s parry of re4 but,1
when can i play as leon,1
double perspective on the plot leon claire but in my book,1
badass and tough like some leon or something like why she,1
more interaction with the claire leon story would have been welcome,1
bro didnt owe money like leon nemesis is just an opp,1
so fun while i enjoyed leon and claire there s something,1
both to nemesis 2 no leon,1
enjoyable sequel no daddy leon tho good graphics solid story,1
like we had claire and leon not a interconnected story that,1
for the equivalent of just leon s story in re2 remake,1
game is good but no leon,1
it got the same treatment leon and claire received cause re3,1
t nearly as limited as leon claire s were in re2,1
more mature than claire and leon in re2 though i love,1
leon s booty is too distracting,1
from a law enforcement family leon has the composure of a,1
the second game on both leon and claire s a and,1
url — when playing as leon in the street section you,1
overall a fun game no leon kennedy but i can live,1
leon isn t in this game,1
remake of claire a and leon b and i had a,1
not to mention the claire leon a and b route barely,1
through far more zombies than leon or claire had to deal,1
as similar but different from leon s parrying in re4r kid,1
completely unharmed compare her to leon in resident evil 2 remake,1
of game time for both leon and claires playthrough and re4,1
even though i do miss leon dearly,1
no leon carlos is hot tho,1
other side campaign like claire leon stories really capcom re2 remake,1
had arrived at it with leon in re 2 they may,1
imagine capcom making leon x jill actually canon in,1
15 hours with claire and leon combined i noticed some hitbox,1
game more engaging plus no leon so cringe,1
good but no leon,1
longer game if you do leon claire 2nd scenario but re3r,1
jill carlos are partners whereas leon claire only really saw each,1
i m looking at you leon and carlos,1
a lot more captivating to leon s kennedy is my favorite,1
rando and wait is that leon and chris oh my god,1
as a companion story to leon and claire my only real,1
where is leon,1
cheesy back and forths between leon and claire which led to,1
mr x jill claire carlos leon,1
antagonist was the situation that leon and claire found themselves in,1
of costumes for claire and leon on top of all of,1
which is like less than leon 2nd run in re2,1
evil 2 for claire and leon it unfortunately also strays away,1
taking the note leaving claire leon to find what s inside,1
8 10 leon better,1
no leon kennedy,1
her recreated appearence too take leon or claire from the re2,1
re2r s 2 character paths leon claire overall fun but not,1
to controlling jill compare to leon and claire and re2 she,1
of memorable characters like claire leon ada sherry their parents etc,1
was expecting on re2r between leon and claire like it used,1
that in re2 you see leon and claire s side of,1
of this game compared to leon and claire in re2r nemesis,1
between the characters i think leon and claire should have just,1
having his own side like leon and claire in re2 remake,1
of the police station from leon and claire s experience there,1
felt refreshing after playing as leon and claire in the previous,1
of professionals compared to rookie leon and college student claire carlos,1
imo but im just a leon simp lol but this is,1
to re2rs game play as leon claire second half is done,1
ll be kited out like leon by the end of re2,1
blue herb noise without the leon claire 1st 2nd runs and,1
jill s juicy ass to leon and i ll buy the,1
t be mostly playing as leon here this go around instead,1
survivor more so than both leon and claire and she s,1
play jill controls better whereas leon and claire are sluggish even,1
gave animations for claire and leon to use eachother s weapons,1
had self defense options like leon claire have in re2 but,1
re games series alog with leon s kennedy,1
nimbler on her feet than leon kennedy or claire redfield which,1
pistol rounds in re2 when leon needed them p this is,1
still interesting more so than leon was in re2 remake at,1
completing re2 remake claire a leon b so this ended the,1
leon teased yet is not here,1
me around 8 hours for leon a only havent even touched,1
not that different i beat leon s route a and jill,1
be there in relation to leon and claire the segments with,1
experienced in combat compared to leon and claire in 2 who,1
and carlos is cooler than leon especially once you equip him,1
i loved the branching paths leon and claire had in their,1
where you have to pick leon or clair this time you,1
was a satisfying journey both leon and claire s stories re3rm,1
jill s run more than leon s from re2 but liked,1
like 2 but less leon,1
my favorite character is still leon bit jill was a good,1
in mind that re2make s leon a leon b claire a,1
re 3 jill and re4 leon where s everyone going bingo,1
how both jill and claire leon s adventures takes place from,1
game engaging the introduction of leon s kennedy as the protagonist,1
to be no way that leon and claire wouldn t have,1
and carlos over claire and leon claire is cool but leon,1
reinventions of the older characters leon and claire lots of replayability,1
all time action hero like leon from re4 except it just,1
another point in re2 remake leon and claire offer 2 routes,1
than the aimless wanderings of leon and claire in 2r i,1
they actually kill leon in this one 10 10,1
carlos they re almost on leon and claire s tier would,1
is overall more capable than leon and clare meaning she can,1
runs jill and carlos unlike leon and claire are highly trained,1
for claire and one for leon here you will have to,1
of a second run with leon clare all textures large parts,1
the re 2 remake of leon and claire which was the,1
it a lot oh my leon is here for real this,1
and they said leon had the dumpa,1
happening in the city before leon and claire arrived carlos is,1
raccoon city the same night leon and claire go through hell,1
virus and the outbreak like leon and claire did rather than,1
remake game which got both leon s and claire s story,1
however as you get both leon and claire s stories carlos,1
her john wick compared to leon and claire it also has,1
good socially platonic friends like leon says if it s not,1
them for a little while leon carlos billy and steve and,1
can it is always chris leon and claire and re2 for,1
a ream about how good leon s story from re 2,1
could tank hits better than leon claire idk that being said,1
wait for sale jill carlos leon claire,1
got 18hrs between claire and leon s playthrough not worth the,1
7 hours compare that to leon s story in re2 remake,1
3 because it stars before leon and clare got into the,1
rearrange the police station before leon and clarie arrive the feeling,1
escape was so much fun leon claire and ada has such,1
time jill moves faster than leon or claire making the game,1
as opposed to claire and leon in 2 i wish they,1
to 8 10 hours of leon jill in a row in,1
station before we see l leon the protagonist of resident evil,1
out or well written as leon and ada yet i found,1
run of re2 as claire leon giving you 6 8 hours,1
mansion and 24 hours before leon and claire arrive in raccoon,1
a much faster feeling protagonist leon and claire ran pretty slowly,1
operatives and not rookies like leon or claire but those two,1
you to play through as leon and claire and then again,1
game played picking claire or leon gave you different weapons and,1
are far more developed than leon claire who barely had anything,1
that s because i like leon and claire i do recommend,1
greener than broccoli rook like leon or a rank amateur like,1
liked jill 100 more than leon or claire the reason i,1
finishing re2 remake with both leon and claire where re2 was,1
a move where he impales leon with his arm and this,1
length as per scenario of leon or claire and some area,1
as shabby as ever before leon got his problematic hands on,1
the previous game had ada leon and claire and a few,1
i played re2 remake and leon a took me 8ish hours,1
less content both claire and leon campaigns 2nd run ghost survivors,1
is a super cop and leon and claire were just newbies,1
is spot on with my leon a run re2 but considering,1
my first blind playthrough of leon s story in the re2r,1
across as an annoying discount leon that never stops being snarky,1
bcz of jill claire and leon i hope capcom will work,1
that are going on with leon claire and the police station,1
carlos feels the same as leon and claire in re2r with,1
of resident evil 2 s leon s kennedy or claire redfield,1
easier than it was in leon s case but it doesn,1
can dodge enemy attacks unlike leon and claire who couldn t,1
two different perspectives claire and leon but re3 is pretty straightforward,1
a veteran to this world leon and claire weren t it,1
jill come with story before leon come to racoon city from,1
x was gonna massacre poor leon wheres the fear boss fights,1
leon help leon oh wrong game,1
i even managed to complete leon a in two hours my,1
form the main antagonist from leon s campaign in re6 and,1
t a r s team leon and more as the survivors,1
difference re2r had claire and leon albeit small variances even in,1
police station which would give leon and claire a clue about,1
leon and claire had there fun,1
learning about raccoon city before leon got there in resident evil,1
remake had a dialogue issues leon especially where most characters came,1
you can meet claire or leon you dont even have to,1
with carlos re4 style like leon and luis sera that lasts,1
finished re 2remake at least leon s side i was anxious,1
to the pros but my leon a time was around 1,1
available to play similar to leon a b and claire a,1
see a more fleshed out leon in resident evil 4 this,1
care about clair redfield nor leon s kennedy the story was,1
a tyrell scream a la leon s luis scream the deaths,1
the main cast jill chris leon claire and carlos reunites and,1
lick of sense why would leon still go to rc if,1
just easier to copy paste leon s desert eagle from re2,1
other game had with claire leon there are some rewards unlocked,1
had somewhat better chemistry than leon and claire but re2 has,1
city before claire redfield and leon kennedy but due to a,1
different scenarios and routes of leon and claire in this game,1
the re2 remake you got leon s campaign claire s campaign,1
not even a whisper of leon or claire or any re2,1
well and alive chasing after leon claire and leon i never,1
less beloved newcomers claire and leon the local guys are superprofessionals,1
games re3 starts after re2 leon and claire escape the city,1
lore great characters as with leon and claire both jill and,1
18 hours total in a leon 1st run claire 2nd run,1
chemistry which was missing between leon and claire which helps make,1
who was once contender to leon as best character in re,1
carlos are fantastic as was leon and claire in re2 remake,1
jill valentine was doing when leon and claire were running around,1
scenario of one character like leon a first run however i,1
s super tyrant fight vs leon this includes the scream you,1
the two different playthroughs with leon and claire which this game,1
the battle two days after leon and claire s adventures this,1
t scared and inexperienced like leon or claire she made it,1
isn t a recolor of leon anymore strike also he s,1
liked jill way more than leon and claire she felt way,1
everything and taking it in leon s a scenario in resident,1
half the amt of time leon took in re2 another sequence,1
more capable than the rookie leon and civilian claire from re2,1
had more moments together than leon and claire did voice acting,1
campaign but you have both leon claire the scenario system a,1
as i love jill chris leon and claire it s always,1
sacada por isso que quando leon chega na cidade tudo já,1
far more likeable than either leon or claire but i still,1
took almost 10 hours on leon 1st run the two things,1
re2 remake i played through leon and claire twice and felt,1
vastly superior to that of leon and claire who literally only,1
of this jill and carlos leon jill ashley ada and carlos,1
is an experienced cop whereas leon and claire were two beginners,1
get the same magnum as leon even with the barrel upgrade,1
hours of gameplay split between leon and claire s individual campaigns,1
cut protagonists like chris or leon at least visually and jill,1
and plan around him like leon and claire had to with,1
played more if they add leon chris ada hunk and especially,1
original game with claire and leon almost never interacting at all,1
you could play through as leon or claire and then replay,1
was a bit absurd that leon survived being pummelled through a,1
loved jill and carlos over leon and claire is re3 shorter,1
first play through one campagin leon a it took me more,1
oriented game as we played leon and claire which don t,1
play characters like jill carlos leon claire michail nicolai ada and,1
resi 2 between claire and leon better than in this game,1
and likeable character than either leon or claire from re2 this,1
game records i passed the leon a and claire a scenarios,1
as i could and only leon a took me 7 8,1
actually punch an enemy unlike leon and chris we get to,1
a lot in re2r giving leon and claire new looks for,1
nemesis scenario to go alongside leon and claire s scenarios if,1
