context,count
everyone except brad vickers and kendo carlos spends most of the,1
2 let you play as kendo hunk and that other guy,1
did with brad carlos and kendo i like how inferno mix,1
game like the rpd and kendo shop was a really nice,1
find in re2 for example kendo and rpd i did finish,1
tyrell carlos nickolai even the kendo only culture mod can save,1
with marvin getting bitten and kendo s gun shop and his,1
better job at it seeing kendo and the dodging is like,1
the rpd and to robert kendo s gun shop as well,1
re2 characters like marvin and kendo as well as showing us,1
characters who escape this are kendo and carlos nemesis is not,1
own nightmare when i saw kendo the grief in his eyes,1
characters in the game including kendo the mayors daughter katherine and,1
community and seeing people like kendo is so heart breaking imagine,1
and saved it right before kendo nemesis s rocket launcher area,1
also nice towards brad and kendo people she knows and trusts,1
becomes very strong e g kendo a heartbreaking interlude that s,1
remake all pls make robert kendo on resident evil 2 and,1
even with certain locations like kendos gun shop and parts of,1
pretty generic absolutely nothing from kendo another character that could have,1
the side characters like tyrell kendo and brad of course the,1
supporting characters such as brad kendo etc is a hugely missed,1
get me invested in them kendo the gun shop owner has,1
right in this except robert kendo s dialog was cringe i,1
everything and bring it to kendo for upgrades before moving on,1
capcom wasted potential you meet kendo he was wasted in re2,1
en nog een modus met kendo kortom dit is een game,1
you re done with the kendo set piece which is indeed,1
for it i also hated kendo and tyrell s voice he,1
first section longer and after kendo shop was a perfect place,1
take down nemesis 6 the kendo marvin and brad scene is,1
barely have a brush with kendo about 2 seconds of marvin,1
re2 and you get to kendo that building is 1 not,1
spoiler while the callbacks to kendo and marvin are nice they,1
of replayability brad s death kendo sewer hunters steam zombies no,1
well as her scene with kendo did she really have to,1
see more about marvin or kendo it just only 1 cutscene,1
the scene with jill and kendo i liked the scene with,1
other characters spoiler tyrell brad kendo spoiler and mikhail got more,1
marvin was bit and at kendo s place another homage on,1
♥♥♥♥♥♥♥ than a proper villain kendo s appearance was as brief,1
other characters like dario and kendo what happened i almost feel,1
game i think they changed kendo s voice in comparison with,1
cameos dario they brought back kendo and marvin even showcased them,1
they were in like mr kendo and that police guy yes,1
trouble and make it double kendo 10,1
game jill apartament is playable kendo is back here unlike original,1
got bitten also meet with kendo was great too see re2,1
but still great 3 adding kendo marvin lore and crossovers between,1
old characters yes you meet kendo to say hi goodbye marvin,1
